Year,Stream,WatershedSlope,CumulativeSummerPrecip,PcntNorthFacing,MeanAirTemp,SnowResidual,TempSensitivity,MeanStreamTemp
2016,SilverSalmon,4.59081,30.9626,-0.571038317,13.81008753,-32.55779097,0.692031307,13.43070671
2016,Allah,19.366984,30.9626,-0.56081257,13.81008753,-14.85810073,0.353683599,9.271688311
2016,Chamee,3.348476,30.9626,-0.150923973,13.81008753,-10.95424458,0.02698677,8.322594697
2016,Berm,17.17625,30.9626,-2.478771661,13.81008753,-45.13323619,0.498873514,9.723436688
2016,Seventh,11.898106,30.9626,-2.12007121,13.81008753,-25.43533792,0.487320316,10.15254816
2016,Uno,15.831892,30.9626,-2.341923173,13.81008753,-14.79314501,0.157843085,8.258761905
2016,C,21.754516,30.9626,-4.840806802,13.81008753,-25.71989391,0.079707552,5.586657468
2016,Cabin,21.500231,30.9626,-1.683439304,13.81008753,-16.68952748,0.50210858,8.8055671
2016,Fifer,7.975384,30.9626,-0.726960394,13.81008753,-33.08042569,0.396112818,9.224587662
2016,LynxCold,11.269006,30.9626,-1.155246905,13.81008753,-15.51552214,0.280104141,8.475790043
