SiteID,SourceName,Year
fws_WELR,fwsakTogiakNWR,2008
fws_WELR,fwsakTogiakNWR,2009
fws_WELR,fwsakTogiakNWR,2010
fws_WELR2,fwsakTogiakNWR,2012
fws_WELR2,fwsakTogiakNWR,2013
fws_WELR2,fwsakTogiakNWR,2014
fws_WELR2,fwsakTogiakNWR,2015
fws_WELR2,fwsakTogiakNWR,2016
fws_WELR2,fwsakTogiakNWR,2017
571005154134600,fwsAlaskaWRD,2005
571005154134600,fwsAlaskaWRD,2006
571221154040300,fwsAlaskaWRD,2005
571343154244900,fwsAlaskaWRD,2006
572656154082400,fwsAlaskaWRD,2005
572656154082400,fwsAlaskaWRD,2006
fws_kdk_aforv01,FWS - Alaska Region Office of Subsistence Management,2009
fws_kdk_aforv01,FWS - Alaska Region Office of Subsistence Management,2010
fws_kdk_aforv01,FWS - Alaska Region Office of Subsistence Management,2011
fws_kdk_aforv01,FWS - Alaska Region Office of Subsistence Management,2012
fws_kdk_aforv01,FWS - Alaska Region Office of Subsistence Management,2013
fws_kdk_aforv01,FWS - Alaska Region Office of Subsistence Management,2014
fws_kdk_aforv01,FWS - Alaska Region Office of Subsistence Management,2016
fws_kdk_aforv01,FWS - Alaska Region Office of Subsistence Management,2017
fws_kdk_aforv01,FWS - Alaska Region Office of Subsistence Management,2018
fws_kdk_busrv01,FWS - Alaska Region Office of Subsistence Management,2009
fws_kdk_busrv01,FWS - Alaska Region Office of Subsistence Management,2012
fws_kdk_busrv01,FWS - Alaska Region Office of Subsistence Management,2014
fws_kdk_busrv01,FWS - Alaska Region Office of Subsistence Management,2015
fws_kdk_busrv01,FWS - Alaska Region Office of Subsistence Management,2016
fws_kdk_busrv01,FWS - Alaska Region Office of Subsistence Management,2017
