OID_,AwcHuc12_non_north_area,AwcHuc12_north_area,region,AwcHuc12_wtd_north_per,cat_ID_txt,cat_ID_con
218,51682300.000000000000000,27108900.000000000000000,Cook_Inlet,34.4059982,75000100000953,Cook_Inlet_75000100000953
219,137649900.000000000000000,52055200.000000000000000,Cook_Inlet,27.4400635,75000100001864,Cook_Inlet_75000100001864
220,566768900.000000000000000,182606500.000000000000000,Cook_Inlet,24.3678265,75000400003844,Cook_Inlet_75000400003844
221,129601100.000000000000000,28761900.000000000000000,Cook_Inlet,18.1620083,75000400019561,Cook_Inlet_75000400019561
222,1697464200.000000000000000,654475900.000000000000000,Cook_Inlet,27.8270645,75000400036699,Cook_Inlet_75000400036699
223,1988303500.000000000000000,767043200.000000000000000,Cook_Inlet,27.8383560,75000400002218,Cook_Inlet_75000400002218
224,37930200.000000000000000,5181100.000000000000000,Cook_Inlet,12.0179625,75000400033841,Cook_Inlet_75000400033841
225,251444100.000000000000000,128587700.000000000000000,Cook_Inlet,33.8360367,75000400015018,Cook_Inlet_75000400015018
226,132352700.000000000000000,48553600.000000000000000,Cook_Inlet,26.8390865,75000400019625,Cook_Inlet_75000400019625
227,1047336200.000000000000000,385301300.000000000000000,Cook_Inlet,26.8945427,75000400024876,Cook_Inlet_75000400024876
228,187893500.000000000000000,42408100.000000000000000,Cook_Inlet,18.4141579,75000400014699,Cook_Inlet_75000400014699
229,1918603500.000000000000000,761627500.000000000000000,Cook_Inlet,28.4164867,75000400014408,Cook_Inlet_75000400014408
230,26910900.000000000000000,13240400.000000000000000,Cook_Inlet,32.9762688,75000400004841,Cook_Inlet_75000400004841
231,95377600.000000000000000,47180900.000000000000000,Cook_Inlet,33.0958176,75000400004888,Cook_Inlet_75000400004888
232,186382600.000000000000000,42117600.000000000000000,Cook_Inlet,18.4321938,75000400009917,Cook_Inlet_75000400009917
