OID_,cat_ID_txt,O1Region,AwcHuc12_wtd_glacier_area_sqm,AwcHuc12_wtd_glacier_per,region,cat_ID,cat_ID_con
326,75004200001298, 1,18284373.599033702164888,81.223361975987828,Cook_Inlet,75004200001298,Cook_Inlet_75004200001298
327,75004200001493, 1,353510.776466780574992,3.666896010121966,Cook_Inlet,75004200001493,Cook_Inlet_75004200001493
328,75004200001716, 1,189429259.822693705558777,64.148491178245152,Cook_Inlet,75004200001716,Cook_Inlet_75004200001716
329,75004200001724, 1,25840654.840018607676029,15.128110644058824,Cook_Inlet,75004200001724,Cook_Inlet_75004200001724
330,75004200001726, 1,93381603.098750650882721,16.379433470217840,Cook_Inlet,75004200001726,Cook_Inlet_75004200001726
331,75004200002407, 1,6869662.368443360552192,80.844286823146632,Cook_Inlet,75004200002407,Cook_Inlet_75004200002407
332,75004200003619, 1,47270880.530258432030678,35.013949536710477,Cook_Inlet,75004200003619,Cook_Inlet_75004200003619
333,75004200003989, 1,81421317.398268923163414,20.159910519001574,Cook_Inlet,75004200003989,Cook_Inlet_75004200003989
334,75004200004105, 1,306739.917846379743423,2.187401923342798,Cook_Inlet,75004200004105,Cook_Inlet_75004200004105
335,75004200005203, 1,28813743.636264476925135,44.558570018829194,Cook_Inlet,75004200005203,Cook_Inlet_75004200005203
336,75004200005415, 1,2092982.389843179611489,3.788174263677210,Cook_Inlet,75004200005415,Cook_Inlet_75004200005415
337,75004200005429, 1,16825303.527015224099159,44.304863614261414,Cook_Inlet,75004200005429,Cook_Inlet_75004200005429
338,75004200006975, 1,35119.955693158124632,0.180067939399943,Cook_Inlet,75004200006975,Cook_Inlet_75004200006975
339,75004200008845, 1,2771266.891985452268273,18.071986702137284,Cook_Inlet,75004200008845,Cook_Inlet_75004200008845
340,75004200008853, 1,9618990.400283223018050,16.416403353740812,Cook_Inlet,75004200008853,Cook_Inlet_75004200008853
341,75004200008970, 1,1855494.398423223290592,12.563461007520694,Cook_Inlet,75004200008970,Cook_Inlet_75004200008970
342,75004200009084, 1,2782105.038759643211961,10.399129284796658,Cook_Inlet,75004200009084,Cook_Inlet_75004200009084
343,75004200009218, 1,20470985.917701952159405,64.837667191609384,Cook_Inlet,75004200009218,Cook_Inlet_75004200009218
344,75004200010717, 1,4869638.853644934482872,30.594862145873215,Cook_Inlet,75004200010717,Cook_Inlet_75004200010717
345,75004200011012, 1,156379915.209405153989792,53.961458423143604,Cook_Inlet,75004200011012,Cook_Inlet_75004200011012
346,75004200012099, 1,148690759.927291244268417,55.867288361582879,Cook_Inlet,75004200012099,Cook_Inlet_75004200012099
347,75004200012680, 1,3083385.596414471976459,10.892497627225390,Cook_Inlet,75004200012680,Cook_Inlet_75004200012680
348,75004200012986, 1,26977745.824162825942039,62.405364566888764,Cook_Inlet,75004200012986,Cook_Inlet_75004200012986
349,75004200013577, 1,25533891.498321101069450,77.668332225436103,Cook_Inlet,75004200013577,Cook_Inlet_75004200013577
350,75004200016346, 1,101464.220341140942764,0.945251312615373,Cook_Inlet,75004200016346,Cook_Inlet_75004200016346
351,75004300000022, 1,70154093.103490039706230,42.703742822286401,Cook_Inlet,75004300000022,Cook_Inlet_75004300000022
352,75004300002023, 1,70697565.338460877537727,18.950539614885319,Cook_Inlet,75004300002023,Cook_Inlet_75004300002023
353,75004300002027, 1,2998892.737755031790584,5.535706228574630,Cook_Inlet,75004300002027,Cook_Inlet_75004300002027
354,75004300002057, 1,543472.234970833989792,1.182249759092508,Cook_Inlet,75004300002057,Cook_Inlet_75004300002057
355,75004300002688, 1,415111584.987040817737579,19.046627273208799,Cook_Inlet,75004300002688,Cook_Inlet_75004300002688
356,75004300002834, 1,415111584.987040698528290,22.868931193965295,Cook_Inlet,75004300002834,Cook_Inlet_75004300002834
357,75004300004090, 1,28542704.353920269757509,14.645523296665260,Cook_Inlet,75004300004090,Cook_Inlet_75004300004090
358,75004300004989, 1,195927904.940730124711990,23.627075893044612,Cook_Inlet,75004300004989,Cook_Inlet_75004300004989
359,75004300005004, 1,43208288.018415577709675,18.751936913467361,Cook_Inlet,75004300005004,Cook_Inlet_75004300005004
360,75004300005723, 1,11012128.683613527566195,16.835787538752562,Cook_Inlet,75004300005723,Cook_Inlet_75004300005723
361,75004300006149, 1,386009016.758641839027405,65.024151769425515,Cook_Inlet,75004300006149,Cook_Inlet_75004300006149
362,75004300006594, 1,85005540.828293144702911,33.495341371018235,Cook_Inlet,75004300006594,Cook_Inlet_75004300006594
363,75004300006726, 1,253947.112092191178817,0.658529573870112,Cook_Inlet,75004300006726,Cook_Inlet_75004300006726
364,75004300006839, 1,37130799.557752296328545,52.086409297787981,Cook_Inlet,75004300006839,Cook_Inlet_75004300006839
365,75004300006970, 1,73696458.076215907931328,14.688311417494319,Cook_Inlet,75004300006970,Cook_Inlet_75004300006970
