cat_ID_con,NhdAwcH12_wtd_lcld_mn_2001_x,NhdAwcH12_wtd_lcld_mn_2002_x,NhdAwcH12_wtd_lcld_mn_2003_x,NhdAwcH12_wtd_lcld_mn_2004_x,NhdAwcH12_wtd_lcld_mn_2005_x,NhdAwcH12_wtd_lcld_mn_2006_x,NhdAwcH12_wtd_lcld_mn_2007_x,NhdAwcH12_wtd_lcld_mn_2008_x,NhdAwcH12_wtd_lcld_mn_2009_x,NhdAwcH12_wtd_lcld_mn_2010_x,NhdAwcH12_wtd_lcld_mn_2011_x,NhdAwcH12_wtd_lcld_mn_2012_x,NhdAwcH12_wtd_lcld_mn_2013_x,NhdAwcH12_wtd_lcld_mn_2014_x,NhdAwcH12_wtd_lcld_mn_2015_x,NhdAwcH12_wtd_lcld_mn_2016_x,NhdAwcH12_wtd_lcld_mn_2017_x,NhdAwcH12_wtd_lcld_mn_2018_x,NhdAwcH12_wtd_lcld_mn_2019_x,NhdAwcH12_wtd_lcld_mn_2001_y,NhdAwcH12_wtd_lcld_mn_2002_y,NhdAwcH12_wtd_lcld_mn_2003_y,NhdAwcH12_wtd_lcld_mn_2004_y,NhdAwcH12_wtd_lcld_mn_2005_y,NhdAwcH12_wtd_lcld_mn_2006_y,NhdAwcH12_wtd_lcld_mn_2007_y,NhdAwcH12_wtd_lcld_mn_2008_y,NhdAwcH12_wtd_lcld_mn_2009_y,NhdAwcH12_wtd_lcld_mn_2010_y,NhdAwcH12_wtd_lcld_mn_2011_y,NhdAwcH12_wtd_lcld_mn_2012_y,NhdAwcH12_wtd_lcld_mn_2013_y,NhdAwcH12_wtd_lcld_mn_2014_y,NhdAwcH12_wtd_lcld_mn_2015_y,NhdAwcH12_wtd_lcld_mn_2016_y,NhdAwcH12_wtd_lcld_mn_2017_y,NhdAwcH12_wtd_lcld_mn_2018_y,NhdAwcH12_wtd_lcld_mn_2019_y
Copper_River_75019600128838,,,,,,,,,,,,,,,,,,,,505.15554535845695,499.8195691457966,497.3068898599779,490.21754244897033,490.9779288084703,501.91551120607227,493.5998886211758,497.13729855207464,496.3681851502561,482.03715989680546,500.43094228758355,502.7471615447547,513.772109549036,494.3183374437435,494.5082312360749,489.6319455493903,488.5545713620081,500.39865521434587,492.83752329863586
Copper_River_75019600119982,,,,,,,,,,,,,,,,,,,,502.99196570739286,498.926557903792,487.4182591841895,488.4214008627437,488.7285120907427,500.54368191005074,490.2001769516875,493.09808812136794,491.6065369211582,482.00137930837155,497.8787452153067,498.9422048351533,513.6909920443157,490.72956408138396,493.0241772032527,485.68191719576123,485.334917513069,500.7992484556013,490.35334735987306
Copper_River_75019600143415,,,,,,,,,,,,,,,,,,,,502.7926889641582,497.2435177241323,491.5108196733444,489.0303405507064,487.68584176416175,500.930469860757,490.9212436006822,493.2659325573825,491.6163919413983,481.1664422419461,496.22766225645427,497.38942128690894,512.5845468664133,490.75521394734466,491.933746015836,485.25384468601163,486.3050664958348,498.67478734911623,490.4323048483965
Copper_River_75019600187749,,,,,,,,,,,,,,,,,,,,499.9263332698377,497.30242208449295,487.4037891775449,484.960566764839,487.8356391733947,501.0280197908585,489.92266815146536,493.0891848725955,492.8899897919839,480.98088707195853,496.8746709257058,499.13107584704403,513.7547252382212,489.9014940827675,491.7509331301532,483.50822356050037,487.1488583136741,502.07646831850633,490.493586531275
Copper_River_75019600164666,,,,,,,,,,,,,,,,,,,,492.2469895218907,492.8388013967383,483.3335581341062,481.400680989604,483.7853170573245,497.46123479070206,487.06623006753455,487.4881437419175,487.5091604356923,481.8788494217748,493.9621582754063,490.4696051283204,512.7183912097425,487.25215832240855,489.9256559561213,473.9060379764485,483.0732960179685,498.87111866191236,487.01184207015507
Copper_River_75019600151382,,,,,,,,,,,,,,,,,,,,490.64783647169406,490.6883213940665,481.44100547543496,486.84330995601897,482.56073430510526,494.4023657875832,488.8691258320712,489.57147419588995,486.90513787826154,482.2432110920953,488.53610478649443,488.52230431668085,510.48699542652037,485.73993435431305,487.6823359978395,475.73491633927244,480.37176421876285,495.3566447696744,485.15101539589125
Copper_River_75019600201122,,,,,,,,,,,,,,,,,,,,490.62728386932275,491.6605222084773,482.98385964803055,481.13417545616835,482.0027133577358,496.59713133207816,488.04949668304045,487.6572666768893,487.81754192606536,482.34549807595005,493.88678478424754,494.4865004540774,511.9473379782608,485.856098245619,489.1178774596625,469.78757050770537,479.9966041352667,497.04076426609987,485.13863328755815
Copper_River_75019600199134,,,,,,,,,,,,,,,,,,,,494.5448881338156,493.06422272418405,484.13443006662817,486.5051346888841,484.3748860410059,496.78614197718395,489.16581918274085,490.4594789429062,488.63111738832475,481.7674481032319,491.6811654168415,491.60346220219037,511.4986520967181,487.3334871019686,489.2248014869525,478.67147277737485,482.56104234183783,497.1424131130379,487.0446305811445
Copper_River_75019600201378,,,,,,,,,,,,,,,,,,,,496.7260182875212,494.86489515341395,486.5633114164343,484.58638234148935,486.4396699850124,498.72735374657066,489.24964710386377,488.35816022028274,491.3313808951054,482.5934902896447,497.1169157353437,496.92118888480536,514.0816054653791,489.50864459606345,491.1152551183533,476.99510621684584,482.98091424569577,500.1771043811326,488.2162660652013
Copper_River_75019600187873,,,,,,,,,,,,,,,,,,,,502.9653178943491,497.00457672791134,495.50982967590244,491.4109971059041,490.17930526017716,502.17291399082524,494.24407830272145,493.3752581670921,496.933984337277,486.9062042860788,498.73462930148855,503.19420042209913,517.0975370221306,496.0468823623518,495.19063146374435,485.3515515626602,486.29708871527237,504.60266240658996,491.0772953995193
Copper_River_75019600117650,,,,,,,,,,,,,,,,,,,,491.4475026766484,492.4514783962195,482.48173705693387,483.3755053879743,483.015757374112,494.7365057924121,488.05184493689603,488.48894998206396,487.84697632556686,481.98038925428807,491.112689841136,490.00426694865024,511.05675968376937,486.29775550110315,488.1875889151114,474.1179410528356,481.268438373773,494.98931652998516,483.82857162721433
Copper_River_75019600187874,,,,,,,,,,,,,,,,,,,,493.82542910669565,493.0492034596536,484.1210553671751,485.3206711949821,484.1887588496057,496.73698167351466,488.6761215797834,489.6690246339409,488.7643034803907,482.12763693727015,492.4741730897673,491.8570684974564,511.963273177001,487.45128872732624,489.44325369660135,477.1192462514322,482.33293879884326,497.59983084387727,486.8850534566927
