OID_,cat_ID_txt,wtd_slope_ZONE_CODE,wtd_slope_COUNT,wtd_slope_AREA,wtd_slope_MIN,wtd_slope_MAX,wtd_slope_RANGE,wtd_slope_MEAN,wtd_slope_STD,wtd_slope_SUM,wtd_slope_MEDIAN,wtd_slope_PCT90,region,cat_ID_con
136,75000200018577,136,858470.000000000000000,85847000.000000000000000,0.000001841244057,39.026687622070312,39.026685780826256,2.661739191553649,3.248443529303258,2285023.243773061316460,2.418531179428101,6.188178205490112,Cook_Inlet,Cook_Inlet_75000200018577
137,75000200015695,137,437328.000000000000000,43732800.000000000000000,0.000003108895726,43.187274932861328,43.187271823965602,4.260536714743872,5.794929067600866,1863252.000385508174077,2.853348731994629,11.058219909667969,Cook_Inlet,Cook_Inlet_75000200015695
138,75000200013033,138,19222.000000000000000,1922200.000000000000000,0.000006081128504,27.993276596069336,27.993270514940832,2.795174802472665,3.527999048407545,53728.850053129557637,2.441698312759399,6.141928529739435,Cook_Inlet,Cook_Inlet_75000200013033
139,75000200005075,139,74426.000000000000000,7442600.000000000000000,0.000006405209206,29.499706268310547,29.499699863101341,2.961237825902327,3.163928949308949,220393.086430606606882,2.442873001098633,7.249647617340088,Cook_Inlet,Cook_Inlet_75000200005075
140,75000200007839,140,1592250.000000000000000,159225000.000000000000000,0.000004372397598,46.458667755126953,46.458663382729355,5.499332169489318,5.459305315541120,8756311.646869365125895,3.435871839523315,12.624264717102051,Cook_Inlet,Cook_Inlet_75000200007839
141,75000200007958,141,34524.000000000000000,3452400.000000000000000,0.000005331991815,14.581612586975098,14.581607254983282,1.707259603511990,1.749224076479284,58941.430551647950779,1.360744893550873,3.435924291610718,Cook_Inlet,Cook_Inlet_75000200007958
142,75000200013189,142,952030.000000000000000,95203000.000000000000000,0.000003107448492,39.130043029785156,39.130039922336664,3.372385829978108,3.605044430251277,3210612.481714058667421,2.853456497192383,7.615711641311645,Cook_Inlet,Cook_Inlet_75000200013189
143,75000200002934,143,2309447.000000000000000,230944700.000000000000000,0.000001910427272,46.071571350097656,46.071569439670384,3.120192884350047,4.029701825336677,7205920.096183562651277,2.442776441574097,6.745356941223145,Cook_Inlet,Cook_Inlet_75000200002934
144,75000200018235,144,28636.000000000000000,2863600.000000000000000,0.000002859099141,37.100128173828125,37.100125314728984,4.462980460316377,6.475369688629965,127801.908461619765148,2.773417115211487,13.279762744903564,Cook_Inlet,Cook_Inlet_75000200018235
145,75000200013258,145,18276.000000000000000,1827600.000000000000000,0.000003338023134,19.223459243774414,19.223455905751280,1.458576160439809,2.045944480665099,26656.937908197942306,0.678794860839844,3.435561776161194,Cook_Inlet,Cook_Inlet_75000200013258
