OBJECTID,SiteID,cat_ID_con,area_diff,lat,lon,site_max_acc,site_acc_sqKm,Area_km2,str_slope,str_slope_dg,str_ord,dist_coast_km,ds_dist_outlet
,KWF3,Cook_Inlet_75004400009261,0.336049942007804,60.453064660000003,-149.986749419999995,5765879,144.146974999999998,144.483024942007802,0.019141640000000,1.096601265603897,4,47.864369359381769,110.128529220000004
,lsarc,Cook_Inlet_75000200017518,0.004699953750162,61.782105989999998,-149.189453380000003,1789921,44.748024999999998,44.752724953750160,0.049833570000000,2.852893190549493,5,30.217407055502061,180.882671390000013
,lscoh,Cook_Inlet_75000200011392,0.008750077999736,61.628126209999998,-149.787544380000014,708679,17.716975000000001,17.725725077999737,0.006582640000000,0.377152042639775,3,17.463557999329620,117.824717890000002
,lslak,Cook_Inlet_75000200013892,0.025324908750363,61.626442330000003,-149.937103860000008,3426260,85.656499999999994,85.681824908750357,0.005575050000000,0.319423526248200,3,21.719197805700929,101.990432920000003
,lslil,Cook_Inlet_75000200008676,0.273649972249988,61.706566960000004,-150.000711569999993,581484,14.537100000000001,14.810749972249988,0.007841270000000,0.449262469462046,2,30.847648403851846,118.116704110000001
,lspap,Cook_Inlet_75000200011034,0.026375065499948,61.557817640000003,-150.113921169999998,2241195,56.029874999999997,56.056250065499945,0.000980970000000,0.056205422800087,2,22.637016916890705,77.653092450000003
,lsr112.4,Cook_Inlet_75000200007305,0.172850012999994,61.782231850000002,-149.187900920000004,2495113,62.377825000000001,62.550675012999996,0.024714720000000,1.415760937654118,5,30.253861432710494,180.882671390000013
,lstrb33,Cook_Inlet_75000200008452,0.031299986750028,61.472892389999998,-150.137532459999989,2790542,69.763549999999995,69.794849986750023,0.003404020000000,0.195035226066501,3,17.000314849875274,53.240611479999998
,lscoa,Cook_Inlet_75000200019263,-2.042275050999953,61.656242779999999,-149.473005220000005,278526,6.963150000000000,4.920874949000047,0.039039510000000,2.235663839158778,3,16.036662470096651,150.120661310000003
,lsgov,Cook_Inlet_75000200012046,2.142675005499797,61.668506020000002,-149.333079609999999,589718,14.742950000000000,16.885625005499797,0.011801250000000,0.676130431028346,4,16.377903363163771,161.303051040000014
,lslak7,Cook_Inlet_75000200015319,6.277974914750438,61.670483009999998,-149.984170519999992,2050445,51.261125000000000,57.539099914750437,0.000054430000000,0.003118609275817,3,27.099779287167706,108.990491149999997
,lsmoo1,Cook_Inlet_75000200011623,0.595124960250240,61.653888400000000,-149.498989819999991,486270,12.156750000000001,12.751874960250241,0.021079070000000,1.207562917234044,4,16.077587007950282,147.994152060000005
,lsnlt1,Cook_Inlet_75000200008734,0.062624903750308,61.685962670000002,-149.972501230000006,802576,20.064399999999999,20.127024903750307,0.016196330000000,0.927900222338623,2,28.110720682804857,115.750839569999997
,lsr100,Cook_Inlet_75000200014508,2.791900003999928,61.666998860000000,-149.338795440000013,8281796,207.044900000000013,209.836800003999940,0.004274720000000,0.244921922769136,6,16.197183651389484,160.066598980000009
,lsr103,Cook_Inlet_75000200019765,0.016274985250192,61.677481049999997,-149.271323380000013,6635106,165.877649999999988,165.893924985250180,0.005261180000000,0.301440627985467,6,17.836544501042791,165.925298620000007
,lsr112,Cook_Inlet_75000200014914,-0.111850010499751,61.773586309999999,-149.203863299999995,4648753,116.218824999999995,116.106974989500245,0.016078700000000,0.921162274494530,6,29.097020222180124,179.553459580000009
,lsr112.2,Cook_Inlet_75000200002162,0.228699947000180,61.779784900000003,-149.193830759999997,4309038,107.725949999999997,107.954649947000178,0.022586200000000,1.293873947748376,6,29.904869254710192,180.061721030000001
,lsr112.5,Cook_Inlet_75000200004615,-0.050300040749818,61.709597760000001,-149.231292260000004,6428534,160.713349999999991,160.663049959250174,0.028251760000000,1.618276154604264,6,21.841538201102392,171.152492679999995
,lsr28,Cook_Inlet_75000200018581,2.000774845000137,61.437420310000000,-150.175795709999989,32056081,801.402024999999981,803.402799845000118,0.000592560000000,0.033951183134543,6,16.841253161357436,44.712119280000003
,lsr28.3,Cook_Inlet_75000200018581,2.000774845000137,61.440570729999997,-150.172287240000003,32056081,801.402024999999981,803.402799845000118,0.000592560000000,0.033951183134543,6,16.803517482108447,44.712119280000003
,lsr33,Cook_Inlet_75000200000021,2.840874841250297,61.466294400000002,-150.142972560000004,31172224,779.305600000000027,782.146474841250324,0.000715450000000,0.040992258458418,6,16.810753281681066,47.808161159999997
,lsr33.1,Cook_Inlet_75000200016094,-0.000350149249698,61.472282059999998,-150.139403789999989,28300985,707.524625000000015,707.524274850750317,0.000975170000000,0.055873107596811,6,17.040325673132443,53.189400489999997
,lsr33.8,Cook_Inlet_75000200000021,2.840874841250297,61.470001250000003,-150.141078420000014,31172224,779.305600000000027,782.146474841250324,0.000715450000000,0.040992258458418,6,16.963569616354377,47.808161159999997
,lsr47,Cook_Inlet_75000200018667,0.309099931250330,61.563375909999998,-150.124805290000012,25827492,645.687300000000050,645.996399931250380,0.000483970000000,0.027729436245953,6,23.462584369111187,74.704358409999998
,lsr48.1,Cook_Inlet_75000200018667,0.309099931250330,61.559872169999998,-150.112049560000003,25827492,645.687300000000050,645.996399931250380,0.000483970000000,0.027729436245953,6,22.682377299008881,74.704358409999998
,lsr48.3,Cook_Inlet_75000200008508,0.006049851000512,61.558627569999999,-150.110901020000000,23514781,587.869524999999953,587.875574851000465,0.000328730000000,0.018834840920883,6,22.553975130515642,77.638426010000003
,lsr59,Cook_Inlet_75000200018882,0.745499886750395,61.604457779999997,-149.991961959999998,21971328,549.283199999999965,550.028699886750360,0.001113850000000,0.063818877618107,6,21.543245044580271,94.675048300000000
,lsr63.1,Cook_Inlet_75000200015320,6.700799949250154,61.624332199999998,-149.944680769999991,21597917,539.947925000000055,546.648724949250209,0.000754850000000,0.043249710950911,6,21.757726910557629,97.009302280000000
,lsr63.4,Cook_Inlet_75000200007660,0.004850021500033,61.624763700000003,-149.939423269999992,18158772,453.969299999999976,453.974150021500009,0.000908210000000,0.052036585604200,6,21.635579765718266,101.990432920000003
,lsr67,Cook_Inlet_75000200007660,0.004850021500033,61.619421629999998,-149.871596130000000,18158772,453.969299999999976,453.974150021500009,0.000908210000000,0.052036585604200,6,18.969217451176430,101.990432920000003
,lsr73,Cook_Inlet_75000200003732,1.481350029999874,61.626880470000003,-149.793722129999992,17226423,430.660574999999994,432.141925029999868,0.000813670000000,0.046619846628051,6,17.486064044224456,115.807082760000000
,lsr73.1,Cook_Inlet_75000200013953,0.006349988750060,61.626697419999999,-149.791407249999992,16508430,412.710750000000019,412.717099988750078,0.000576930000000,0.033055650406978,6,17.412134879902091,117.522922559999998
,lsr73.2,Cook_Inlet_75000200013953,0.006349988750060,61.625815629999998,-149.789393969999992,16508430,412.710750000000019,412.717099988750078,0.000576930000000,0.033055650406978,6,17.276316332377458,117.522922559999998
