OID_,cat_ID_txt,cat_elev_ZONE_CODE,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,region,cat_ID_con
102,75000500010609,102,5108.000000000000000,510800.000000000000000,149,229,80,183.071260767423780,24.786599229950639,935128.000000000000000,81,149,227,181,218,Cook_Inlet,Cook_Inlet_75000500010609
103,75000300025361,103,4237.000000000000000,423700.000000000000000,116,218,102,154.628038706632225,20.233343683181946,655159.000000000000000,102,116,123,159,173,Cook_Inlet,Cook_Inlet_75000300025361
104,75000600010189,104,16261.000000000000000,1626100.000000000000000,15,65,50,27.067831006703184,11.944833998261519,440150.000000000000000,51,16,65,22,44,Cook_Inlet,Cook_Inlet_75000600010189
105,75000600030148,105,33924.000000000000000,3392400.000000000000000,231,482,251,311.023346303500603,69.741655160319070,10551156.000000000000000,252,244,482,286,418,Cook_Inlet,Cook_Inlet_75000600030148
106,75000200008033,106,11048.000000000000000,1104800.000000000000000,65,80,15,69.951574945691419,2.260166760025267,772825.000000000000000,16,70,80,70,73,Cook_Inlet,Cook_Inlet_75000200008033
107,75000200002920,107,2707.000000000000000,270700.000000000000000,64,74,10,70.661987439970559,2.595904713383255,191282.000000000000000,11,73,67,71,73,Cook_Inlet,Cook_Inlet_75000200002920
108,75000200000411,108,266.000000000000000,26600.000000000000000,70,71,1,70.789473684210535,0.407682457495520,18830.000000000000000,2,71,70,71,71,Cook_Inlet,Cook_Inlet_75000200000411
109,75000200008551,109,187.000000000000000,18700.000000000000000,42,47,5,43.213903743315505,1.231154951579544,8081.000000000000000,6,42,47,43,45,Cook_Inlet,Cook_Inlet_75000200008551
110,75000200007305,110,3413.000000000000000,341300.000000000000000,557,836,279,615.648696161734733,61.149247962896105,2101209.000000000000000,269,564,657,594,715,Cook_Inlet,Cook_Inlet_75000200007305
111,75000200015657,111,8346.000000000000000,834600.000000000000000,109,146,37,127.369039060627372,10.815553584546352,1063022.000000000000000,38,141,109,130,141,Cook_Inlet,Cook_Inlet_75000200015657
112,75000200003107,112,169.000000000000000,16900.000000000000000,91,98,7,92.461538461538439,1.076923076923072,15626.000000000000000,8,92,96,92,93,Cook_Inlet,Cook_Inlet_75000200003107
113,75000200008009,113,165.000000000000000,16500.000000000000000,107,112,5,108.521212121212116,0.988343449002624,17906.000000000000000,6,109,112,109,110,Cook_Inlet,Cook_Inlet_75000200008009
