OID_,non_north_area,north_area,region,wtd_north_per,cat_ID_txt,cat_ID_con
172,340390600.000000000000000,23166500.000000000000000,Cook_Inlet,6.3721766,75000200013319,Cook_Inlet_75000200013319
173,60067500.000000000000000,12782800.000000000000000,Cook_Inlet,17.5466671,75000200007852,Cook_Inlet_75000200007852
174,202968900.000000000000000,30499500.000000000000000,Cook_Inlet,13.0636520,75000200000465,Cook_Inlet_75000200000465
175,866309400.000000000000000,88300700.000000000000000,Cook_Inlet,9.2499228,75000200013237,Cook_Inlet_75000200013237
176,3358900.000000000000000,597900.000000000000000,Cook_Inlet,15.1106958,75000200007870,Cook_Inlet_75000200007870
177,5312200.000000000000000,981200.000000000000000,Cook_Inlet,15.5909367,75000200000011,Cook_Inlet_75000200000011
178,359999600.000000000000000,52681700.000000000000000,Cook_Inlet,12.7657108,75000200013953,Cook_Inlet_75000200013953
179,130793600.000000000000000,29836800.000000000000000,Cook_Inlet,18.5748158,75000200004615,Cook_Inlet_75000200004615
180,13806900.000000000000000,1418100.000000000000000,Cook_Inlet,9.3142853,75000200010148,Cook_Inlet_75000200010148
181,73445500.000000000000000,12231500.000000000000000,Cook_Inlet,14.2762938,75000200013892,Cook_Inlet_75000200013892
182,15191200.000000000000000,751800.000000000000000,Cook_Inlet,4.7155490,75000200013179,Cook_Inlet_75000200013179
183,854733000.000000000000000,87460400.000000000000000,Cook_Inlet,9.2826376,75000200002984,Cook_Inlet_75000200002984
184,396404900.000000000000000,57535700.000000000000000,Cook_Inlet,12.6747198,75000200007660,Cook_Inlet_75000200007660
185,220182200.000000000000000,16452600.000000000000000,Cook_Inlet,6.9527388,75000200005448,Cook_Inlet_75000200005448
186,697017900.000000000000000,106340100.000000000000000,Cook_Inlet,13.2369509,75000200018581,Cook_Inlet_75000200018581
187,313698400.000000000000000,116595800.000000000000000,Cook_Inlet,27.0967636,75000200011336,Cook_Inlet_75000200011336
188,667142500.000000000000000,193058700.000000000000000,Cook_Inlet,22.4434357,75000200012999,Cook_Inlet_75000200012999
189,377597800.000000000000000,54510800.000000000000000,Cook_Inlet,12.6150694,75000200003732,Cook_Inlet_75000200003732
190,17127900.000000000000000,2999500.000000000000000,Cook_Inlet,14.9025707,75000200008734,Cook_Inlet_75000200008734
191,678918100.000000000000000,103186800.000000000000000,Cook_Inlet,13.1934729,75000200000021,Cook_Inlet_75000200000021
192,1083081500.000000000000000,120520000.000000000000000,Cook_Inlet,10.0132809,75000200005532,Cook_Inlet_75000200005532
193,479365700.000000000000000,70624700.000000000000000,Cook_Inlet,12.8410788,75000200018882,Cook_Inlet_75000200018882
194,37957000.000000000000000,4353900.000000000000000,Cook_Inlet,10.2902565,75000200005404,Cook_Inlet_75000200005404
195,23152900.000000000000000,1633200.000000000000000,Cook_Inlet,6.5891771,75000200015587,Cook_Inlet_75000200015587
196,47978300.000000000000000,9558500.000000000000000,Cook_Inlet,16.6128464,75000200015319,Cook_Inlet_75000200015319
197,1607792500.000000000000000,165909300.000000000000000,Cook_Inlet,9.3538437,75000200015900,Cook_Inlet_75000200015900
198,19724500.000000000000000,2759600.000000000000000,Cook_Inlet,12.2735624,75000200005077,Cook_Inlet_75000200005077
199,300455600.000000000000000,44719900.000000000000000,Cook_Inlet,12.9556990,75000200008950,Cook_Inlet_75000200008950
200,476234800.000000000000000,70376700.000000000000000,Cook_Inlet,12.8750858,75000200015320,Cook_Inlet_75000200015320
201,16159100.000000000000000,726200.000000000000000,Cook_Inlet,4.3007822,75000200012046,Cook_Inlet_75000200012046
