OID_,non_wetland_area,wetland_area,region,wtd_wet_per,cat_ID_txt,cat_ID_con
274,315105600.000000000000000,206400.000000000000000,Bristol_Bay,0.0654590,2066955,Bristol_Bay_2066955
275,61051300.000000000000000,1678900.000000000000000,Bristol_Bay,2.6763823,2067494,Bristol_Bay_2067494
276,5128200.000000000000000,21700.000000000000000,Bristol_Bay,0.4213674,2068072,Bristol_Bay_2068072
277,93209300.000000000000000,327600.000000000000000,Bristol_Bay,0.3502361,2068584,Bristol_Bay_2068584
278,17686500.000000000000000,154800.000000000000000,Bristol_Bay,0.8676498,2070402,Bristol_Bay_2070402
279,154967500.000000000000000,108600.000000000000000,Bristol_Bay,0.0700301,2071934,Bristol_Bay_2071934
280,16388300.000000000000000,49800.000000000000000,Bristol_Bay,0.3029547,2072993,Bristol_Bay_2072993
281,331322800.000000000000000,389200.000000000000000,Bristol_Bay,0.1173307,2073464,Bristol_Bay_2073464
282,220842100.000000000000000,335700.000000000000000,Bristol_Bay,0.1517783,2074424,Bristol_Bay_2074424
283,110143800.000000000000000,8100.000000000000000,Bristol_Bay,0.0073535,2078232,Bristol_Bay_2078232
284,112059500.000000000000000,45900.000000000000000,Bristol_Bay,0.0409436,2078282,Bristol_Bay_2078282
285,842806100.000000000000000,1033300.000000000000000,Bristol_Bay,0.1224522,2082373,Bristol_Bay_2082373
286,843562700.000000000000000,1033300.000000000000000,Bristol_Bay,0.1223425,2082393,Bristol_Bay_2082393
287,52935400.000000000000000,512500.000000000000000,Bristol_Bay,0.9588777,2084713,Bristol_Bay_2084713
288,2560564100.000000000000000,104927700.000000000000000,Bristol_Bay,3.9365232,2085642,Bristol_Bay_2085642
289,2753789500.000000000000000,110308800.000000000000000,Bristol_Bay,3.8514321,2085962,Bristol_Bay_2085962
290,7470351300.000000000000000,122118100.000000000000000,Bristol_Bay,1.6084108,2087913,Bristol_Bay_2087913
291,8476078200.000000000000000,129551300.000000000000000,Bristol_Bay,1.5054250,2088163,Bristol_Bay_2088163
292,8539026000.000000000000000,130148400.000000000000000,Bristol_Bay,1.5012779,2088253,Bristol_Bay_2088253
293,465970200.000000000000000,26069300.000000000000000,Bristol_Bay,5.2982130,2088326,Bristol_Bay_2088326
294,251508200.000000000000000,18162400.000000000000000,Bristol_Bay,6.7350316,2088586,Bristol_Bay_2088586
295,145231600.000000000000000,3477500.000000000000000,Bristol_Bay,2.3384581,3023044,Bristol_Bay_3023044
296,6641121000.000000000000000,113113100.000000000000000,Bristol_Bay,1.6746992,3024343,Bristol_Bay_3024343
297,768253600.000000000000000,13221200.000000000000000,Bristol_Bay,1.6918268,3030955,Bristol_Bay_3030955
298,81304200.000000000000000,1888300.000000000000000,Bristol_Bay,2.2697959,3033666,Bristol_Bay_3033666
299,270900400.000000000000000,2207200.000000000000000,Bristol_Bay,0.8081796,3033956,Bristol_Bay_3033956
300,70704500.000000000000000,8545800.000000000000000,Bristol_Bay,10.7833033,3034126,Bristol_Bay_3034126
301,4849200.000000000000000,1128600.000000000000000,Bristol_Bay,18.8798561,4046617,Bristol_Bay_4046617
302,2109900.000000000000000,115700.000000000000000,Bristol_Bay,5.1985979,4048046,Bristol_Bay_4048046
303,1869100.000000000000000,1219200.000000000000000,Bristol_Bay,39.4780312,4051055,Bristol_Bay_4051055
304,3266100.000000000000000,47900.000000000000000,Bristol_Bay,1.4453832,4051056,Bristol_Bay_4051056
305,3299400.000000000000000,0.000000000000000,Bristol_Bay,0.0000000,4051616,Bristol_Bay_4051616
306,5141200.000000000000000,235300.000000000000000,Bristol_Bay,4.3764529,4052076,Bristol_Bay_4052076
307,25876900.000000000000000,0.000000000000000,Bristol_Bay,0.0000000,4054120,Bristol_Bay_4054120
308,176432400.000000000000000,34200.000000000000000,Bristol_Bay,0.0193804,4054200,Bristol_Bay_4054200
309,6613700.000000000000000,2432100.000000000000000,Bristol_Bay,26.8865108,4055337,Bristol_Bay_4055337
310,6229200.000000000000000,857400.000000000000000,Bristol_Bay,12.0988913,4059016,Bristol_Bay_4059016
311,11890500.000000000000000,75700.000000000000000,Bristol_Bay,0.6326152,4059736,Bristol_Bay_4059736
312,9085500.000000000000000,104000.000000000000000,Bristol_Bay,1.1317264,4060036,Bristol_Bay_4060036
313,8804800.000000000000000,330500.000000000000000,Bristol_Bay,3.6178341,4061136,Bristol_Bay_4061136
314,17004500.000000000000000,492300.000000000000000,Bristol_Bay,2.8136573,4063606,Bristol_Bay_4063606
