OID_,cat_ID_txt,FType,AwcHuc12_wtd_lake_area_sqm,AwcHuc12_wtd_lake_per,region,cat_ID,cat_ID_con
609,75000100002463,390,878144.647070246282965,0.274858773733419,Cook_Inlet,75000100002463,Cook_Inlet_75000100002463
610,75000100002482,390,2141163.836899602320045,3.778798946573458,Cook_Inlet,75000100002482,Cook_Inlet_75000100002482
611,75000100002688,390,498139.975145396136213,1.158522985266805,Cook_Inlet,75000100002688,Cook_Inlet_75000100002688
612,75000100002741,390,910823.264894786872901,1.145680273967318,Cook_Inlet,75000100002741,Cook_Inlet_75000100002741
613,75000100002858,390,524823.483862225199118,0.187128380550788,Cook_Inlet,75000100002858,Cook_Inlet_75000100002858
614,75000100003438,390,2311024.461106723640114,1.495505739143451,Cook_Inlet,75000100003438,Cook_Inlet_75000100003438
615,75000100003757,390,37438769.481947623193264,8.679183619037008,Cook_Inlet,75000100003757,Cook_Inlet_75000100003757
616,75000100003787,390,2510565.788168081548065,4.723868015057278,Cook_Inlet,75000100003787,Cook_Inlet_75000100003787
617,75000100003972,390,551962.593305979389697,0.136316216642496,Cook_Inlet,75000100003972,Cook_Inlet_75000100003972
618,75000100004048,390,13751056.825466521084309,3.079920384103040,Cook_Inlet,75000100004048,Cook_Inlet_75000100004048
619,75000100004381,390,315493.804149598348886,0.527207805604309,Cook_Inlet,75000100004381,Cook_Inlet_75000100004381
620,75000100004383,390,29661101.235756065696478,12.682899719554072,Cook_Inlet,75000100004383,Cook_Inlet_75000100004383
621,75000200000020,390,12761639.131963003426790,16.355503398201503,Cook_Inlet,75000200000020,Cook_Inlet_75000200000020
622,75000200000456,390,14928474.699330478906631,7.335349749983218,Cook_Inlet,75000200000456,Cook_Inlet_75000200000456
623,75000200000465,390,2090982.557100711623207,0.895888820226292,Cook_Inlet,75000200000465,Cook_Inlet_75000200000465
624,75000200000471,390,5415039.444889047183096,1.428818086476469,Cook_Inlet,75000200000471,Cook_Inlet_75000200000471
625,75000200000745,390,480321953.931165397167206,1.501412936148341,Cook_Inlet,75000200000745,Cook_Inlet_75000200000745
626,75000200001139,390,1904872.647300472250208,1.595910382860088,Cook_Inlet,75000200001139,Cook_Inlet_75000200001139
627,75000200001210,390,2208541.575152563862503,0.308012801842484,Cook_Inlet,75000200001210,Cook_Inlet_75000200001210
628,75000200001253,390,688400.325588449020870,0.434901406336387,Cook_Inlet,75000200001253,Cook_Inlet_75000200001253
629,75000200002736,390,1734806.274133556056768,0.916754435340121,Cook_Inlet,75000200002736,Cook_Inlet_75000200002736
630,75000200002996,390,1164292.233746916521341,1.939960033405388,Cook_Inlet,75000200002996,Cook_Inlet_75000200002996
631,75000200003154,390,2414490.336886418052018,4.881819050837170,Cook_Inlet,75000200003154,Cook_Inlet_75000200003154
632,75000200003229,390,14272200.959385074675083,5.069132986936471,Cook_Inlet,75000200003229,Cook_Inlet_75000200003229
633,75000200003483,390,3880370.134545911569148,0.981434791558083,Cook_Inlet,75000200003483,Cook_Inlet_75000200003483
634,75000200003487,390,458248416.654934644699097,1.591472527872599,Cook_Inlet,75000200003487,Cook_Inlet_75000200003487
635,75000200003655,390,346583.213721418811474,0.334563356215861,Cook_Inlet,75000200003655,Cook_Inlet_75000200003655
