OID_,cat_ID_txt,AwcHuc12_cat_elev_ZONE_CODE,AwcHuc12_cat_elev_COUNT,AwcHuc12_cat_elev_AREA,AwcHuc12_cat_elev_MIN,AwcHuc12_cat_elev_MAX,AwcHuc12_cat_elev_RANGE,AwcHuc12_cat_elev_MEAN,AwcHuc12_cat_elev_STD,AwcHuc12_cat_elev_SUM,AwcHuc12_cat_elev_VARIETY,AwcHuc12_cat_elev_MAJORITY,AwcHuc12_cat_elev_MINORITY,AwcHuc12_cat_elev_MEDIAN,AwcHuc12_cat_elev_PCT90,region,cat_ID_con
117,2077232,117,758.000000000000000,75800.000000000000000,110,122,12,115.961741424802085,2.669551389120348,87899.000000000000000,13,115,110,116,120,Bristol_Bay,Bristol_Bay_2077232
118,2077333,118,1522.000000000000000,152200.000000000000000,72,99,27,80.422470433639987,5.611921297668747,122403.000000000000000,28,79,73,79,91,Bristol_Bay,Bristol_Bay_2077333
119,2077902,119,2744.000000000000000,274400.000000000000000,75,92,17,85.516399416909692,2.328463596651804,234657.000000000000000,18,86,77,86,88,Bristol_Bay,Bristol_Bay_2077902
120,2078492,120,1998.000000000000000,199800.000000000000000,113,211,98,139.494494494494745,25.829670760800070,278710.000000000000000,99,117,211,130,180,Bristol_Bay,Bristol_Bay_2078492
121,2078522,121,2500.000000000000000,250000.000000000000000,94,360,266,171.753199999999907,78.854003638115884,429383.000000000000000,266,97,238,141,305,Bristol_Bay,Bristol_Bay_2078522
122,2078786,122,697.000000000000000,69700.000000000000000,57,85,28,64.754662840746036,7.542043547282577,45134.000000000000000,29,58,85,62,77,Bristol_Bay,Bristol_Bay_2078786
123,2078822,123,1633.000000000000000,163300.000000000000000,109,123,14,115.701163502755520,2.547307187309528,188940.000000000000000,15,114,123,115,119,Bristol_Bay,Bristol_Bay_2078822
124,2078943,124,57.000000000000000,5700.000000000000000,79,80,1,79.754385964912274,0.430450671802993,4546.000000000000000,2,80,79,80,80,Bristol_Bay,Bristol_Bay_2078943
125,2079006,125,4452.000000000000000,445200.000000000000000,52,145,93,67.636343216531884,16.781068996189997,301117.000000000000000,85,54,121,58,91,Bristol_Bay,Bristol_Bay_2079006
126,2079192,126,11.000000000000000,1100.000000000000000,75,80,5,77.909090909090892,1.564059139462292,857.000000000000000,5,79,77,78,79,Bristol_Bay,Bristol_Bay_2079192
