Region,HUC12,Year,Scenario,TempSens,dist_coast_km,wtd_area_sqKM,str_slope,cat_elev_MEAN,cat_slope_MEAN,wtd_north_per,wtd_slope_MEAN,wtd_glacier_per,wtd_lake_per,wtd_wet_per,wtd_lcld_jd,summer_precip,Chinook,Sockeye,Chum,Pink,Coho,Spawning,Rearing
Copper_River,190201023003,2006,High Precipitation,0.3191723346336228,210.72652436627524,326.48852504349986,1e-5,981.7444168734555,10.493425663619592,12.9358768,8.616901369586435,0.001555544983802,6.611072410681754,1.8958718,513.5004796183439,415.18,0,1,0,0,0,1,0
Copper_River,190201023005,2006,High Precipitation,0.41700666256788965,194.04007422983497,522.64929994325,0.00869776,768.2858714788725,4.1399694065367,12.5322809,7.213319321012174,9.71717722487e-4,7.383352209271887,2.0429509,509.43883735144954,360.05,1,1,0,0,0,1,1
Copper_River,190201023101,2006,High Precipitation,0.3070655006702927,189.15171014200774,106.63989997900013,0.006871980000000001,806.0500228067517,5.175486083216605,29.3889179,6.206201309992842,0,0.372020697951464,0.6321318,500.8634602854496,370.9,1,0,0,0,0,1,0
Copper_River,190201023102,2006,High Precipitation,0.41386120476362337,178.97437568398925,1358.3588498520007,0.00519366,769.2432644218578,7.135194376247738,18.4171848,6.339436146599513,3.73883224934e-4,4.060668606602874,4.245337,503.8185964067303,350.79,1,1,0,0,0,1,1
Copper_River,190201023105,2006,High Precipitation,0.4130757483918787,164.2788264346771,1681.20694998025,1e-5,581.7176938369782,0.49893192465843,16.4707375,5.866500573430755,3.02085110584e-4,3.544855753990359,5.9768391,502.1729139908246,257.47,1,1,0,0,0,1,1
Copper_River,190201023201,2006,High Precipitation,0.23698536810561718,174.68289970621603,70.49102498649998,0.008789410000000001,855.8281749351187,4.290261920868087,33.2428856,9.301223159763065,0,1.236299206880113,1.5770617,501.91551120607227,392.61,1,1,0,0,0,0,0
Copper_River,190201023202,2006,High Precipitation,0.3402501357466993,174.22430578452224,165.94239986825036,0.00358882,789.933324261804,2.657510533821594,25.8862572,6.616196181241139,0,2.132294200676859,1.9657083,500.930469860757,359.89,1,1,0,0,0,1,0
Copper_River,190201023203,2006,High Precipitation,0.2558735858164513,174.931719669958,70.0557498602504,0.00939444,796.1385819521173,4.206020872221253,12.4683762,7.763465589345422,0,1.017182475637847,2.2274759,500.54368191005074,370.29,1,0,0,0,0,1,0
Copper_River,190201023204,2006,High Precipitation,0.2329846367063746,175.58963902091594,102.46430020649957,0.00574617,743.6641202861628,4.138458055855539,26.5242424,9.423133574235253,0,0.903298189002358,2.5745699,501.0280197908585,343.69,0,1,0,0,0,1,0
Copper_River,190201023206,2006,High Precipitation,0.46369732823768434,168.31157339345378,1033.48792500925,0.00325077,664.8732978093535,5.313276235049337,20.2569771,4.371593775988806,0,6.160920035452197,3.0495172,496.78614197718395,310.38,1,1,0,0,0,0,0
Copper_River,190201023301,2006,High Precipitation,0.322266622661355,169.6893337263857,129.27624995874993,0.00579217,661.4493700419988,4.317617204975742,8.6329727,4.887306115603495,0,2.251099971805701,4.7122164,497.46123479070206,306.05,1,0,0,0,0,0,0
Copper_River,190201023302,2006,High Precipitation,0.23658512402282125,184.7744085785419,68.9300750120001,0.03587708,889.4483604728979,5.056827619174554,23.1812325,9.252947385286511,0,0.628446622787747,2.5443065,502.43300264175457,397.78000000000003,0,1,0,0,0,1,0
Copper_River,190201023303,2006,High Precipitation,0.2698351877327575,168.98852745388626,184.0688499537502,0.0018913900000000002,634.9707338380896,2.349835092701299,14.3369904,6.533050202308209,0,0.51654757541976,4.1710801,498.72735374657066,303.82,0,1,0,0,0,1,0
Copper_River,190201023304,2006,High Precipitation,0.4364661397098852,163.45709160829125,1549.42242495925,9.737e-5,615.8311164852889,2.175946274429829,18.321104,4.406673554353243,0,5.583768188751828,4.3603425,496.73698167351466,275.59,1,1,0,0,0,0,0
Copper_River,190201023305,2006,High Precipitation,0.4910043716011616,164.1207900373631,2548.2950249365003,0.00230216,582.8760842627007,1.064081303688315,14.6606684,3.3016169558817,0,10.104736581156551,8.2235489,494.7365057924134,257.47,1,1,0,0,0,0,0
Copper_River,190201023401,2006,High Precipitation,0.31210167583465787,122.06762186077538,16763.47314999075,0.0024096300000000003,451.7334748554287,2.435037952229364,18.8607807,8.386549049585238,6.231212511822678,3.081969557327038,9.6884947,504.47200763884297,236.44,1,1,0,0,0,0,0
Copper_River,190201023405,2006,High Precipitation,0.29697014370494984,120.89251183787636,101.14785011074984,0.01703245,500.4832043914402,2.261141836691859,7.9734845,2.2993181019879,0,0.222373679570327,7.3002,493.6779025920572,241.7,1,0,0,0,0,0,1
Copper_River,190201023406,2006,High Precipitation,0.3568850033197594,112.2129122472863,17262.168275057003,0.00145258,338.5966797914231,0.771251589442545,18.7361679,8.267227189840348,6.133662930299707,3.004808284294197,9.5897398,504.19783099091063,225.95,1,1,0,0,1,0,0
Copper_River,190201023407,2018,High Precipitation,0.41217737472918,106.01403258932423,99.60510015624962,0.00469778,330.7691687773424,4.172203244937669,24.2652225,2.326036975175835,0,0.312688764391461,23.0417423,485.6095274697747,223.8,1,0,0,0,1,0,1
