SiteID,Year,MA7d_DAT,MA7d_DMT,MxDAT,MnDAT,MxDMT,MnDMT,MnDNT,NDNT,MxDIFF,Jul,Aug,SIGMA_DAT,SIGMA_DMT,SIGMA_DNT,SD,CV_DAT,CV_DAT_K,RANGE_MAX,RANGE_MN,SUM_13_DMT,SUM_18_DMT,SUM_20_DMT,dur13,dur13mx,dur13gt6,dur13ct,dur18,dur18mx,dur18gt6,dur18ct,dur20,dur20mx,dur20gt6,dur20ct,MxDMT_jd,MA7d_DMT_jd,Jun
nv_Eyak_Heney Creek,2017,11.349395833333329,11.781571428571429,11.702,8.511683537137682,12.369,8.934423913043478,8.1465,3.896,8.472999999999999,9.389212701612903,10.027818884408605,4.011319727563731,3.7961538293119923,4.315989,2.002827932590249,0.23530338314995228,0.007110757513902922,2.032,0.7879239130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,219,6.038230208333332
nv_Eyak_Heney Creek,2018,11.338104166666671,11.695714285714287,11.71221875,9.109768682065218,12.098,9.610195652173912,8.693065217391304,4.178,7.920000000000001,10.101946908602152,10.260427755376345,3.2837162648059253,2.82745796129957,3.747725929765886,1.8121027191652037,0.19891863146127586,0.006419982300794485,2.5629999999999997,0.9171304347826087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,210,6.895503472222223
nv_Eyak_Heney Creek,2020,10.605013392857158,10.940142857142858,10.7878541666667,8.930841292134835,11.081,9.344011235955056,8.565404494382022,4.342,6.739,9.932104166666674,10.302610863095241,3.1919583571506753,2.876828579417773,3.535993720888662,1.78660526058519,0.20004893180204736,0.006333663968106595,1.9260000000000002,0.7786067415730336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,232,6.615884722222221
PWSCC_Erb,2016,12.837000000000014,14.174571428571427,13.3757083333333,10.068612771739131,14.9,11.072739130434783,9.28970652173913,5.244,9.656,11.446341397849467,10.63204704301075,2.9495680843077756,2.943504436693741,3.5230407370998567,1.717430663609968,0.17057271965314838,0.006063975269147076,4.147,1.7830326086956523,12,0,0,3,8,1,4,0,0,0,0,0,0,0,0,201,199,8.062744444444444
PWSCC_Erb,2017,10.952339285714286,11.929285714285713,11.158375,8.58872554347826,12.69,9.422391304347826,7.922326086956522,2.943,9.747,9.554751344086023,10.032774193548384,4.005111932469178,3.8803551419015765,4.44052127711419,2.001277575067781,0.23301216984252404,0.007103310243230805,4.156,1.5000652173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,219,6.098315277777776
PWSCC_Erb,2018,10.76202976190477,11.872857142857143,11.0352083333333,8.705463315217392,12.883,9.672695652173912,7.978967391304348,2.943,9.94,9.790993279569891,10.006936827956993,3.6810179284891036,3.3150946975633064,4.4061934384854275,1.9185979069333687,0.22039009728288744,0.006807027560745479,4.379,1.6937282608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,185,6.238893055555556
PWSCC_Gilmour,2016,15.618648809523828,17.86842857142857,16.393625,13.131612318840578,18.901,14.298554347826087,12.017423913043478,8.68,10.221,14.144272849462372,13.163615591397843,1.6378127606356572,2.3836536783325366,2.145562444696608,1.2797705890649531,0.097457232058915,0.004470320600401097,6.062000000000001,2.2811304347826087,78,3,0,15.6,62,2,5,3,3,0,1,0,0,0,0,201,199,12.052126388888883
PWSCC_Gilmour,2019,15.426077380952373,17.284285714285716,15.8339583333333,13.06139175724638,17.76,14.393717391304348,11.801826086956522,8.082,9.678,14.315635752688168,12.917170698924735,2.7878662688133047,3.1688706445293837,2.9626949364548496,1.669690470959604,0.12783403958718795,0.00583376664607317,4.611999999999998,2.591891304347826,63,0,0,12.6,59,1,5,0,0,0,0,0,0,0,0,184,183,11.914368055555565
PWSCC_Hogan,2018,11.265309523809501,11.708,11.4342083333333,8.950791213768113,12.11,9.738565217391304,8.390858695652174,2.303,9.806999999999999,10.245864247311829,10.533876344086012,5.632759433016416,4.070235677018633,6.863099067725752,2.3733435134881793,0.26515460553224623,0.008413104774632578,5.301,1.3477065217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,214,5.976694444444445
PWSCC_Hogan,2019,11.790613095238085,12.358999999999998,12.0897083333333,10.330129981884054,12.69,11.062771739130435,9.840597826086956,3.893,8.797,11.435284946236552,10.711438172043009,2.1087833406914775,1.4453402440277117,2.9947413639512663,1.4521650528405776,0.14057568059523345,0.005122634355125271,5.167999999999999,1.2221739130434783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,199,8.794118055555556
